series,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Reported,2093,1582,1606,1677,1678,1662,1590,1356,1541,1398,1482,1443,1337
Cleared,535,435,378,370,390,399,393,393,444,405,444,435,406
