series,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Reported,57,61,65,56,53,50,51,61,39,56,43,77,69
Cleared,0,0,0,0,0,0,0,0,0,0,0,20,15
