series,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Reported,679,633,626,607,573,431,600,577,620,528,468,414,508
Cleared,482,374,305,301,302,268,318,261,261,231,207,153,198
