series,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Reported,3615,3076,2903,2858,2719,2788,2803,2862,2579,2605,2757,2533,2591
Cleared,1339,1018,944,859,1109,1183,1166,1192,1262,1178,1332,1219,1274
