series,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Reported,9316,8886,8789,8725,8346,9542,11010,12430,11100,11101,9398,4880,8861
Cleared,5119,4637,4098,3655,3092,2072,3026,2796,1942,2522,2284,1226,2544
