series,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Reported,21,23,19,16,11,20,18,28,16,25,26,35,12
Cleared,18,13,13,5,8,13,13,17,17,12,17,7,5
