series,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Reported,228,195,171,202,175,151,156,152,176,251,181,142,169
Cleared,69,64,44,81,68,70,71,76,84,144,82,83,70
