series,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Reported,5472,5228,4808,4446,4640,4758,4694,4594,4586,4637,5233,5547,4082
Cleared,823,800,675,592,680,663,673,656,674,804,924,857,623
