series,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Reported,239,248,283,245,298,338,323,331,261,282,357,352,348
Cleared,145,142,126,117,127,156,124,114,113,122,151,132,112
